Study,SampleName,location,age_months,lifestyle,study_accession,BioSample,NCBI_SampleName,SRA
Olm2022,1824,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4766061,11358.1824,ERS2586024
Olm2022,1825,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4766062,11358.1825,ERS2586025
Olm2022,1092,Tanzania (Hadza),24,Non-industrialized,PRJEB27517,SAMEA4765552,11358.1092,ERS2585516
Olm2022,1098,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4765558,11358.1098,ERS2585522
Olm2022,1550,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4765840,11358.155,ERS2585804
Olm2022,1553,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4765843,11358.1553,ERS2585807
Olm2022,1579,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4765864,11358.1579,ERS2585828
Olm2022,1580,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4765865,11358.158,ERS2585829
Olm2022,1587,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4765872,11358.1587,ERS2585836
Olm2022,1593,Tanzania (Hadza),24,Non-industrialized,PRJEB27517,SAMEA4765878,11358.1593,ERS2585842
Olm2022,1816,Tanzania (Hadza),3.6,Non-industrialized,PRJEB27517,SAMEA4766053,11358.1816,ERS2586016
Olm2022,1818,Tanzania (Hadza),3.6,Non-industrialized,PRJEB27517,SAMEA4766055,11358.1818,ERS2586018
Olm2022,1918,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4766098,11358.1918,ERS2586061
Olm2022,1919,Tanzania (Hadza),7.2,Non-industrialized,PRJEB27517,SAMEA4766099,11358.1919,ERS2586062
Olm2022,1931,Tanzania (Hadza),24,Non-industrialized,PRJEB27517,SAMEA4766109,11358.1931,ERS2586072
Olm2022,1932,Tanzania (Hadza),6,Non-industrialized,PRJEB27517,SAMEA4766110,11358.1932,ERS2586073
Olm2022,1934,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4766112,11358.1934,ERS2586075
Olm2022,1936,Tanzania (Hadza),3.6,Non-industrialized,PRJEB27517,SAMEA4766114,11358.1936,ERS2586077
Olm2022,1005,Tanzania (Hadza),30,Non-industrialized,PRJEB27517,SAMEA4765466,11358.1005,ERS2585430
Olm2022,1023,Tanzania (Hadza),24,Non-industrialized,PRJEB27517,SAMEA4765483,11358.1023,ERS2585447
Olm2022,1025,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4765485,11358.1025,ERS2585449
Olm2022,1064,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4765524,11358.1064,ERS2585488
Olm2022,1708,Tanzania (Hadza),6,Non-industrialized,PRJEB27517,SAMEA4765988,11358.1708,ERS2585951
Olm2022,1717,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4765997,11358.1717,ERS2585960
Olm2022,1720,Tanzania (Hadza),18,Non-industrialized,PRJEB27517,SAMEA4766000,11358.172,ERS2585963
Olm2022,1779,Tanzania (Hadza),30,Non-industrialized,PRJEB27517,SAMEA4766038,11358.1779,ERS2586001
Olm2022,1802,Tanzania (Hadza),2.4,Non-industrialized,PRJEB27517,SAMEA4766048,11358.1802,ERS2586011
Olm2022,1938,Tanzania (Hadza),12,Non-industrialized,PRJEB27517,SAMEA4766115,11358.1938,ERS2586078
Olm2022,1947,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4766123,11358.1947,ERS2586086
Olm2022,1948,Tanzania (Hadza),24,Non-industrialized,PRJEB27517,SAMEA4766124,11358.1948,ERS2586087
Olm2022,1949,Tanzania (Hadza),6,Non-industrialized,PRJEB27517,SAMEA4766125,11358.1949,ERS2586088
Olm2022,2001,Tanzania (Hadza),12,Non-industrialized,PRJEB27517,SAMEA4766141,11358.2001,ERS2586104
Olm2022,2128,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4766152,11358.2128,ERS2586115
Olm2022,2132,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4766156,11358.2132,ERS2586119
Olm2022,2138,Tanzania (Hadza),7.2,Non-industrialized,PRJEB27517,SAMEA4766161,11358.2138,ERS2586124
Olm2022,2140,Tanzania (Hadza),30,Non-industrialized,PRJEB27517,SAMEA4766163,11358.214,ERS2586126
Olm2022,2153,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4766176,11358.2153,ERS2586139
Olm2022,2156,Tanzania (Hadza),12,Non-industrialized,PRJEB27517,SAMEA4766179,11358.2156,ERS2586142
Olm2022,2205,Tanzania (Hadza),24,Non-industrialized,PRJEB27517,SAMEA4766191,11358.2205,ERS2586154
Olm2022,2261,Tanzania (Hadza),6,Non-industrialized,PRJEB27517,SAMEA4766204,11358.2261,ERS2586167
Olm2022,2269,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4766206,11358.2269,ERS2586169
Olm2022,2337,Tanzania (Hadza),9,Non-industrialized,PRJEB27517,SAMEA4766244,11358.2337,ERS2586207
Olm2022,2342,Tanzania (Hadza),24,Non-industrialized,PRJEB27517,SAMEA4766249,11358.2342,ERS2586212
Olm2022,1233,Tanzania (Hadza),24,Non-industrialized,PRJEB27517,SAMEA4765687,11358.1233,ERS2585651
Olm2022,1254,Tanzania (Hadza),15,Non-industrialized,PRJEB27517,SAMEA4765708,11358.1254,ERS2585672
Olm2022,1268,Tanzania (Hadza),12,Non-industrialized,PRJEB27517,SAMEA4765722,11358.1268,ERS2585686
Olm2022,1319,Tanzania (Hadza),24,Non-industrialized,PRJEB27517,SAMEA4765770,11358.1319,ERS2585734
Olm2022,1321,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4765772,11358.1321,ERS2585736
Olm2022,1344,Tanzania (Hadza),18,Non-industrialized,PRJEB27517,SAMEA4765787,11358.1344,ERS2585751
Olm2022,1212,Tanzania (Hadza),10.8,Non-industrialized,PRJEB27517,SAMEA4765671,11358.1212,ERS2585635
Olm2022,1278,Tanzania (Hadza),6,Non-industrialized,PRJEB27517,SAMEA4765731,11358.1278,ERS2585695
Olm2022,1350,Tanzania (Hadza),30,Non-industrialized,PRJEB27517,SAMEA4765793,11358.135,ERS2585757
Olm2022,2369,Tanzania (Hadza),3,Non-industrialized,PRJEB27517,SAMEA4766267,11358.2369,ERS2586230
Olm2022,2491,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4766302,11358.2491,ERS2586265
Olm2022,2503,Tanzania (Hadza),3.6,Non-industrialized,PRJEB27517,SAMEA4766314,11358.2503,ERS2586277
Olm2022,2576,Tanzania (Hadza),24,Non-industrialized,PRJEB27517,SAMEA4766337,11358.2576,ERS2586300
Olm2022,2577,Tanzania (Hadza),12,Non-industrialized,PRJEB27517,SAMEA4766338,11358.2577,ERS2586301
Olm2022,2607,Tanzania (Hadza),36,Non-industrialized,PRJEB27517,SAMEA4766354,11358.2607,ERS2586317
