run_accession,study_accession,experiment_accession,experiment_title,experiment_desc,organism_taxid,organism_name,library_strategy,library_source,library_selection,library_layout,sample_accession,sample_title,instrument,total_spots,total_size,run_total_spots,run_total_bases,run_alias,sra_url_alt,sra_url,experiment_alias,Alias,ENA checklist,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,SRA accession,Sample Name,Title,collection date,environment (biome),environment (feature),environment (material),geographic location (country and/or sea),geographic location (latitude),geographic location (longitude),human gut environmental package,investigation type,project name,sequencing method,ena_fastq_http,ena_fastq_http_1,ena_fastq_http_2,ena_fastq_ftp,ena_fastq_ftp_1,ena_fastq_ftp_2
ERR1995327,ERP022986,ERX2055196,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726333,,Illumina HiSeq 2000,751180,65036960,751180,64027766,ena-RUN-BGI-01-06-2017-09:26:47:677-57,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995327/ERAS9_Dag8_wHAXPI002182-96.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995327/ERR1995327.1,,ERAS9_Dag8,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:10Z,2017-05-11T07:04:22Z,public,ERS1726333,ERS1726333,ERAS9_Dag8,2012-06-30,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/007/ERR1995327/ERR1995327.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/007/ERR1995327/ERR1995327.fastq.gz,
ERR1995326,ERP022986,ERX2055195,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726331,,Illumina HiSeq 2000,841769,72418658,841769,68272144,ena-RUN-BGI-01-06-2017-09:26:47:677-56,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995326/ERAS9_Dag4_wHAXPI002205-95.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995326/ERR1995326.1,,ERAS9_Dag4,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:10Z,2017-05-11T07:04:22Z,public,ERS1726331,ERS1726331,ERAS9_Dag4,2012-06-26,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/006/ERR1995326/ERR1995326.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/006/ERR1995326/ERR1995326.fastq.gz,
ERR1995325,ERP022986,ERX2055194,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726332,,Illumina HiSeq 2000,787606,67630368,787606,64943421,ena-RUN-BGI-01-06-2017-09:26:47:677-55,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995325/ERAS9_Dag42_wHAXPI002206-97.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995325/ERR1995325.1,,ERAS9_Dag42,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:10Z,2017-05-11T07:04:22Z,public,ERS1726332,ERS1726332,ERAS9_Dag42,2012-08-03,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/005/ERR1995325/ERR1995325.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/005/ERR1995325/ERR1995325.fastq.gz,
ERR1995324,ERP022986,ERX2055193,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726330,,Illumina HiSeq 2000,951433,81883586,951433,78948384,ena-RUN-BGI-01-06-2017-09:26:47:677-54,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995324/ERAS9_Dag180_wHAXPI002183-98.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995324/ERR1995324.1,,ERAS9_Dag180,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726330,ERS1726330,ERAS9_Dag180,2012-12-20,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/004/ERR1995324/ERR1995324.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/004/ERR1995324/ERR1995324.fastq.gz,
ERR1995323,ERP022986,ERX2055192,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726329,,Illumina HiSeq 2000,747876,64125557,747876,60012262,ena-RUN-BGI-01-06-2017-09:26:47:677-53,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995323/ERAS9_Dag0_wHAXPI002174-94.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995323/ERR1995323.1,,ERAS9_Dag0,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726329,ERS1726329,ERAS9_Dag0,2012-06-22,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/003/ERR1995323/ERR1995323.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/003/ERR1995323/ERR1995323.fastq.gz,
ERR1995322,ERP022986,ERX2055191,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726328,,Illumina HiSeq 2000,850380,73343992,850380,70302920,ena-RUN-BGI-01-06-2017-09:26:47:677-52,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995322/ERAS8_Dag8_wHAXPI002171-90.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995322/ERR1995322.1,,ERAS8_Dag8,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726328,ERS1726328,ERAS8_Dag8,2012-06-29,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/002/ERR1995322/ERR1995322.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/002/ERR1995322/ERR1995322.fastq.gz,
ERR1995321,ERP022986,ERX2055190,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726327,,Illumina HiSeq 2000,687941,59184282,687941,56775066,ena-RUN-BGI-01-06-2017-09:26:47:677-51,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995321/ERAS8_Dag42_wHAXPI002172-92.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995321/ERR1995321.1,,ERAS8_Dag42,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726327,ERS1726327,ERAS8_Dag42,2012-08-02,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/001/ERR1995321/ERR1995321.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/001/ERR1995321/ERR1995321.fastq.gz,
ERR1995320,ERP022986,ERX2055189,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726326,,Illumina HiSeq 2000,858001,73812349,858001,69956653,ena-RUN-BGI-01-06-2017-09:26:47:677-50,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995320/ERAS8_Dag180_wHAXPI002173-93.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995320/ERR1995320.1,,ERAS8_Dag180,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726326,ERS1726326,ERAS8_Dag180,2012-12-20,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/000/ERR1995320/ERR1995320.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/000/ERR1995320/ERR1995320.fastq.gz,
ERR1995319,ERP022986,ERX2055188,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726325,,Illumina HiSeq 2000,678497,59212343,678497,58808848,ena-RUN-BGI-01-06-2017-09:26:47:677-49,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995319/ERAS8_Dag0_wHAXPI002170-88.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995319/ERR1995319.1,,ERAS8_Dag0,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726325,ERS1726325,ERAS8_Dag0,2012-06-21,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/009/ERR1995319/ERR1995319.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/009/ERR1995319/ERR1995319.fastq.gz,
ERR1995318,ERP022986,ERX2055187,Illumina HiSeq 2000 sequencing,Illumina HiSeq 2000 sequencing,408170,human gut metagenome,WGS,METAGENOMIC,other,SINGLE,ERS1726324,,Illumina HiSeq 2000,1217236,104506787,1217236,100885612,ena-RUN-BGI-01-06-2017-09:26:47:677-48,http://ftp.sra.ebi.ac.uk/vol1/run/ERR199/ERR1995318/ERAS7_Dag8_wHAXPI002167-85.clean.single.rmhost.fq.gz,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-4/ERR1995318/ERR1995318.1,,ERAS7_Dag8,ERC000015,BGI,Beijing Genome Institute,2018-05-24T17:04:09Z,2017-05-11T07:04:22Z,public,ERS1726324,ERS1726324,ERAS7_Dag8,2012-06-22,human gut,human-associated habitat,faeces,Denmark,55.65,12.47,human-gut,metagenome,Antibiotic,Illumina,,http://ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/008/ERR1995318/ERR1995318.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/ERR199/008/ERR1995318/ERR1995318.fastq.gz,
