Species	158458797-stool1	158499257-stool1	158742018-stool1	158802708-stool1	158944319-stool1	159247771-stool1	159146620-stool1	159166850-stool1	159733294-stool1	158337416-stool1	158883629-stool1	159369152-stool1	159591683-stool1	159207311-stool1	159227541-stool1	159268001-stool1	159571453-stool1	763496533-stool1	763678604-stool1	763536994-stool1	763820215-stool1	763577454-stool1	763840445-stool1	763961826-stool1	763860675-stool1	764062976-stool1	763577454-stool2	763901136-stool1	763759525-stool1	764143897-stool1	763982056-stool1	764042746-stool1	764285508-stool1	764487809-stool1	764224817-stool1	763435843-stool1	764002286-stool1	764325968-stool1	764447348-stool1	764508039-stool1	764588959-stool1	764649650-stool1	764669880-stool1	765074482-stool1	159753524-stool1	159915365-stool1	160421117-stool1	159611913-stool1	159490532-stool1	159551223-stool1	159814214-stool1	159510762-stool1	159632143-stool1	160319967-stool1	160502038-stool1	160582958-stool1	160603188-stool1	160158126-stool1	160178356-stool1	160218816-stool1	765094712-stool1	765013792-stool1	765135172-stool1	763961826-stool2	763496533-stool2	765034022-stool1	765560005-stool1	763597684-stool1	765620695-stool1	763678604-stool2	764669880-stool2	764892411-stool1	160643649-stool1	160400887-stool1	160704339-stool1	160765029-stool1	158479027-stool1	158256496-stool1	158337416-stool2	638754422-stool1	158499257-stool2	158924089-stool1	246515023-stool1	158802708-stool2	159005010-stool1	159268001-stool2	159369152-stool2	159247771-stool2	159510762-stool2	159207311-stool2	158944319-stool2	159551223-stool2	159713063-stool1	159571453-stool2	159591683-stool2	159611913-stool2	764811490-stool1	764447348-stool2	550534656-stool1	763759525-stool2	159814214-stool2	604812005-stool1	604812005-stool2	404239096-stool1	765074482-stool2	764224817-stool2	861967750-stool1	764184357-stool1	823052294-stool1	686765762-stool1	765701615-stool1	159227541-stool2	763982056-stool2	763536994-stool2	765640925-stool1	763860675-stool2	764487809-stool2	764143897-stool2	159490532-stool2	706846339-stool1	508703490-stool1	675950834-stool1	338793263-stool1	737052003-stool1	638754422-stool2	764325968-stool2	765094712-stool2	246515023-stool2	763820215-stool2	160158126-stool2	763536994-stool3	809635352-stool1	763901136-stool2	763840445-stool2	764042746-stool2	686765762-stool2	764062976-stool2	159753524-stool2	159227541-stool3
Acidaminococcus intestini	0	0	0.00285894071259404	0	0	0	0	0	0	0	0	0	0	0	0.00020586507221859	0	0	0	0	0	0.00136132484618904	0	0	0.0188938819122308	0	0	0	0	0	0.0121490165884433	0.0098104758175006	0	0	0	0	0	0	0	0	0	0	0	0.000670111917850167	4.46820987948345e-05	0.00965783503356375	0	0	0	3.96832405120498e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00292173995057729	0	0	0	0	0	0.00105901906393725	0.00160603361756254	0	0	0	0	0	0	0.000323816209331823	0	0	0	0	0.00693671007734303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000821602150509701	0	0	0	0	0	0	0.000685046960422456	0.00626088222625324	0	0	0	0	0.00551665146127301	0.00790183837692051	0	0	0	0	0	0	0	0	0.00125749387332355	0.0034778727794048	0	0	0.00118306713595249	0	0	0	0	0	0.000536650447426963	0.000237088740683033
Acinetobacter lwoffii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.50908952126589e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces odontolyticus	0	5.0197721119399e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.21992407748015e-05	0	0	0	0	0	0	0	0	0	0	0	4.61028255481305e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.31755657471605e-05	0	0	0	7.41914511869933e-05	4.32834664331374e-05	0	4.22360045404415e-05	0	0	0	0	0	0	0	0	0	0	0	0	6.82865331482059e-05	0	0	0	0	0	0	0	0	0	0	0.000134569420513937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.50176843033868e-05	0	0	0	0	5.02300230853012e-05	0	0	0	0	0	0	0	0	0	3.30931519709271e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	4.79152185202646e-05	0
Actinomyces sp. oral taxon 448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.76657386036598e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces viscosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.21992407748015e-05	0	0	0	0	0	0	0	0	0	0	0	3.68822604385044e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.97381766230998e-05	3.71305534421463e-05	0	0	0	0	0	0	0	0	0	3.87625076370907e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcus viridans	0	0	0	0	0	0	0.000155358491939558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aggregatibacter aphrophilus	0	0	0	0	0	0	0	0	0	0	0	3.49360591159156e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.99742190512571e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25321769361471e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.81357790528464e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.82452617009223e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aggregatibacter segnis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84340628694401e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.59543255714168e-05	0	0	0	0	5.72036685792696e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.64905234018446e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agrobacterium sp. H13-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.08040554567731e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansia muciniphila	0.00123508790424538	0.00675159349055916	0	0	0	0	0	3.92679936318198e-05	0	0	0	0	0	0.0032404372871214	0	0.02640321685724	0	0.000203227492551293	0	0	0	0.000892310443021984	0	0	0	0.0492590988876768	0.000505772910426683	0.0278887131030004	0	0	0.00177673815588606	0	0	0.0124162640105987	0	0	0.01138909334238	4.90259831905201e-05	0.00778894843329887	0	0	0.00341305610778376	0.000462353204968305	0.00255906565824961	0	0	0	0	0	0.0164071199665719	0	0.000665072955587536	0	0	0.00874854541599385	0	0	0	0.00227932625035596	0	0	0	0	0	0.00573436368941141	0	0	0.00261244396897983	0.0269131924504982	0	0.0237997567981897	0	0.00564777436800295	0.000588052782281477	0.0478488566110206	0.00729976855619575	0.00240462403019436	0.0147996000857581	0	0	0.000129737544079272	0	0	0	0	0.00430756715065113	0	0	0.00786773862188641	0.00229191637294127	0	0.00318112384521111	0	0.00110265085279266	0	0	0	0.00588436182525198	0	0.00272842956897551	0	0	0	0	0.000183598245923955	0	0	0	4.50176843033868e-05	0	0	0.000300925021374206	0.00715009390456661	0	0.0222297147328499	0	0.00417034779234289	0	0	0	0	0	0	0	0	0.000288323198376124	0	0	0	0	0.0277410771880732	0.00061826954844975	0.0139110217751522	0	0	0	0.00787668513773226	0.0065739679809803	0.00322131441145425
