Species	alien-11-0-0	alien-11-2-0	alien-11-7-0	alien-12-7-0	alien-13-7-0	alien-11-60-0	alien-11-376-0	alien-11-377-0	alien-11-378-0	alien-11-380-0	alien-11-392-1	alien-11-392-2	alien-11-392-3	alien-13-392-1	alien-13-392-2	alien-13-392-3	alien-11-600-0	alien-11-630-0	alien-11-632-0	alien-11-637-0	alien-11-773-0	bugkiller-11-0-0	bugkiller-11-2-0	bugkiller-11-7-0	bugkiller-12-7-0	bugkiller-13-7-0	bugkiller-11-60-0	bugkiller-11-392-1	bugkiller-11-392-2	bugkiller-11-392-3	bugkiller-13-392-1	bugkiller-13-392-2	bugkiller-13-392-3	bugkiller-11-600-0	bugkiller-11-773-0	peacemaker-11-0-0	peacemaker-11-2-0	peacemaker-11-7-0	peacemaker-12-7-0	peacemaker-13-7-0	peacemaker-11-60-0	peacemaker-11-392-1	peacemaker-11-392-2	peacemaker-11-392-3	peacemaker-13-392-1	peacemaker-13-392-2	peacemaker-13-392-3	peacemaker-11-600-0	peacemaker-11-773-0	scavenger-11-0-0	scavenger-11-2-0	scavenger-11-7-0	scavenger-12-7-0	scavenger-13-7-0	scavenger-11-60-0	scavenger-11-392-0	halbarad-11-0-0	halbarad-11-2-0	halbarad-11-7-0	halbarad-12-7-0	halbarad-13-7-0	halbarad-11-392-0	tigress-11-0-0	tigress-11-2-0	tigress-11-7-0	tigress-11-60-0	daisy-11-0-0	daisy-11-2-0	daisy-11-7-0	daisy-11-60-0
Acidaminococcus intestini	0	0	0	0	0	0	0.000145968768360134	0	0	0	0	0.000165201847403033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00247588414608852	0	0	0	0	0	0	5.6593200553163e-05	0	0	0	0.00605350354433916	0.0104056929720942	0.0111222916705297	0.00785581934036537
Acidovorax ebreus	6.86860032814714e-05	0	0	0	0	0	0.000145968768360134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces odontolyticus	0.000215870296027481	0.000109499918795461	6.03078534910131e-05	0	0	0.000163720807930356	0.000316265664780291	0	0.000115105951823737	0.000295780988973281	0	0	0	0	0	0	0.000146449060100393	0.000104724946803102	0.00022003148072873	0	0	0.000272644517887466	0.000396706382731506	6.70805692125089e-05	8.12639729558657e-05	0.000139040140303798	0.000178047596051369	0.000174688785972491	0.000132480281236711	0.000134055430421302	0.000537960508489523	0.000155916040002163	0.00137826418812715	0.000396531552434284	0.000102677834212146	0.000180625336978063	0.000227093239197027	8.32837743799865e-05	0.000168008822329937	0	0.000300745758821461	8.99280190441851e-05	0	0.000128126483407627	0.000147999736972772	0	9.54408563961756e-05	7.40886282863856e-05	6.98461816747564e-05	8.61774818251445e-05	0	0	7.59148740554986e-05	0.000207654678838966	0.00010151669990303	0.000110039295381712	8.52652853197012e-05	0.000140056671820286	0.000119975649228051	0	0	0.000116652287652043	7.54576007375507e-05	0.00026575533677845	7.83231326965546e-05	0.000165011291907922	0.000145917785159691	0.000153394026659121	0.000158437203283898	0.000150063406692748
Actinomyces sp. oral taxon 180	0	7.29999458636404e-05	0	0	0	9.44543122675133e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.51466516421476e-05	0	0	0	0	0	7.0784277432832e-05	0	0	0	0	0	8.01505550107154e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces sp. oral taxon 448	6.86860032814714e-05	0	5.02565445758443e-05	0	0	0.00014692893019391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000314603782072501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces viscosus	8.58575041018392e-05	0	0	0	0	7.87119268895944e-05	0	0	0	0	0	0	0	8.02545777115585e-05	0	0	0	0	0	0	0	9.48328757869448e-05	5.99957183760611e-05	5.59004743437574e-05	0	0	0.000191743564978397	0	0	0	9.43790365771093e-05	0	0.000329584914552144	0	0	3.55328531760123e-05	4.00752775053577e-05	0	0	0	8.77175129895927e-05	0	0	0	0	0	0	0	0	7.93739964178962e-05	0	0	0	0	8.45972499191916e-05	0	0	0	9.59805193824411e-05	0	0	8.74892157390322e-05	0	0	0	0	0	9.7614380601259e-05	0.000178241853694386	0
Aggregatibacter segnis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.85796240401572e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.17495985671585e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000178241853694386	0
Akkermansia muciniphila	0	0	0	0	0	0	0.000291937536720268	0.000125578408168098	0.000102773171271194	0.000254700296060325	0	0.000348472646865772	0.000293776984765973	0	0	9.93204301730738e-05	0.00519015468995792	0.00407030959908056	0	6.05788350964058e-05	0.101969780554319	9.48328757869448e-05	0	6.92101110922711e-05	0	0	0	0	0.000115920246082122	0	0	0	0	0.000422966989263236	6.84518894747641e-05	0	0	6.24628307849898e-05	0	0	0	0	0	0.00098230303945847	0	0	0	0	0	0.000387345102519334	0	0	0.000113872311083248	0	5.63981666127944e-05	0	0.0251852336513067	0.0643780496069934	0.0466135391163286	0.0411669273307727	0.03475807345085	0.0688131844859401	0	0	0	0	0.00301563422663361	0	0.000285186965911017	0.0123302099165875
Alistipes putredinis	0	0	0	0	0	8.3959388682234e-05	0.000218953152540201	0.00020929734694683	8.2218537016955e-05	0.000184863118108301	8.13091800155045e-05	0.000172085257711492	0	6.68788147596321e-05	0.000200891994186545	0	5.85796240401572e-05	0	0	0	0.0509726328206676	0.000177811642100522	5.14249014651952e-05	0.000111800948687515	4.51466516421476e-05	5.95886315587704e-05	0.000143807673733798	0	0.000158976337484054	0	0	0	0.000192614560452552	0.000793063104868567	6.84518894747641e-05	0.0476735407849264	0.00764235542027171	0.036740637067731	0.0490305746499533	0.0436477473518361	0.0335344052159213	0.0331159930130212	0.038643429408127	0.0224306763618952	0.0320804229862181	0.0314078974443414	0.0274392462139005	0.0226192582158335	0.00301835285094483	0.000704841088190919	0	7.27264027032157e-05	7.59148740554986e-05	0	0.000131971709873939	0	0.077181070455327	0.0761828262318461	0.0428313067744143	0.0337423223622758	0.0337367026768699	0.00844562562600791	0.0396888115479332	0.0502437039713338	0.040962998400298	0.0410665959475416	0	9.7614380601259e-05	0.000118827902462924	0
Alistipes shahii	0	0	0	0	0	0	0	0	0	0	0	0.000206502309253791	0	0	0	0	0.000156212330773752	0	0	0	0	9.48328757869448e-05	0.00170273562629202	0	0	0	0.000210917921476237	0	0	0	0	0	0	0.000631513213136081	0	4.94921883523029e-05	0	3.12314153924949e-05	0	0	0	0	0	0	8.87998421836632e-05	0	0	0	0	0.000557381841512338	0	0.0002017021324972	0.000227744622166496	0.000152280097815242	3.38388999676766e-05	0	0.00698109523555053	0.00560226687281146	0.0100312973382343	0.00934590797293247	0.00974825636013088	0.00114708082857842	0.010042149031489	0.0124373497612315	0.00869386772931756	0.0131144688663963	0.000406485258659138	0	0	7.50317033463741e-05
